,Id,Name,Price,Rating,NumRatings,Type,StyleName,Year,Body,Acidity,Vintage,Nat,Region,Country,Size,Winery
2146,156700264,Brusset Laurent B. Côtes du Rhône 2017,12.99,3.6,2194,1,Southern Rhône Red,2017,-1,-1,0,0,Côtes-du-Rhône,France,750,Brusset
2147,148008498,Casale Tre Mari Veritas 2013,12.99,3.6,250,1,Southern Italy Red,2013,-1,-1,0,0,Sicilia,Italy,750,Casale Tre Mari
2148,151915636,Mil Piedras Malbec 2017,12.99,3.4,1829,1,Argentinian Malbec,2017,-1,-1,0,0,Mendoza,Argentina,750,Mil Piedras
2149,163005656,Doña Paula Los Cardos Cabernet Sauvignon 2020,12.99,3.4,6908,1,Argentinian Cabernet Sauvignon,2020,-1,-1,0,0,Lujan de Cuyo,Argentina,750,Doña Paula
2150,161309654,Los Morros Pinot Noir 2018,12.99,3.7,184,1,Chilean Pinot Noir,2018,-1,-1,0,0,Central Valley,Chile,750,Los Morros
2151,89092229,Santa Ema Reserve Merlot 2016,12.99,3.7,4723,1,Chilean Merlot,2016,-1,-1,0,0,Maipo Valley,Chile,750,Santa Ema
2152,156678129,Bob's Pinotage 2017,12.99,3.4,198,1,South African Pinotage,2017,-1,-1,0,0,Western Cape,South Africa,750,Bob's
2153,161439282,Casa Santos Lima Topo Tinto 2018,12.99,3.8,193,1,NONE,2018,-1,-1,0,0,Vinho de Portugal,Portugal,750,Casa Santos Lima
2154,161824397,Colimoro Montepulciano d'Abruzzo 2019,12.99,3.7,2575,1,Italian Montepulciano d'Abruzzo,2019,-1,-1,0,0,Montepulciano d'Abruzzo,Italy,750,Colimoro
2155,166441454,Vineyard Block Estate 245 Reserve Cabernet Sauvignon 2018,12.99,3.8,82,1,Californian Cabernet Sauvignon,2018,-1,-1,0,0,Paso Robles,United States,750,Vineyard Block Estate
